"","Rede.Rodoviária","Rede.Rodoviária.Clandestina","Área.Devastada","População","Renda.domiciliar.per.capita","Taxa.de.desemprego","Homicídios","PIB","Exportação","Analfabetos"
"125",33432.8219397414,18760.7284675914,4096.91006400184,5314318.89834855,495.074175889964,8.1447355250339,708.190443822818,45239880.962498,1210446840.14313,13.3659763009448
"126",33439.0434813977,18813.4436487097,4181.25739261985,5323383.90918384,495.803153460449,8.16805047641125,712.402878391051,45189329.8690849,1217293106.28109,13.342949949058
"127",33445.19,18865,4284,5332187,496.68,8.19,716,45144977,1224155564,13.32
"128",33451.2604767878,18915.3817853667,4405.8676419159,5340654.04091355,497.72309497705,8.21030098019219,718.918166225043,45107682.0825644,1231034111.73371,13.2971346204732
"129",33457.2691013636,18964.8081818989,4545.38003322041,5348776.76780384,498.91757270768,8.22900454520656,721.178278552807,45077232.1462862,1237933500.08181,13.274340528126
"130",33463.2338654206,19013.5570949822,4700.50437853621,5356563.38299097,500.240256219883,8.24624538421854,722.822374447728,45053146.0462204,1244859692.68533,13.2515990783438
"131",33469.1727606521,19061.9064300017,4869.20788248598,5364022.088795,501.66796854165,8.26215818640353,723.892491374247,45034942.637422,1251818653.1853,13.2288916265118
"132",33475.1037787512,19110.1340923429,5049.45774969238,5371161.087536,503.177532700975,8.27687764093696,724.4306667968,45022140.7749458,1258816345.22275,13.2061995280151
"133",33481.0449114112,19158.5179873911,5239.22118477809,5377988.58153405,504.745771725851,8.29053843699424,724.478938179826,45014259.3138469,1265858732.43872,13.1835041382389
"134",33487.0141503253,19207.3360205318,5436.4653923658,5384512.77310922,506.34950864427,8.30327526375079,724.079342987764,45010817.1091801,1272951778.47422,13.1607868125684
"135",33493.0294871866,19256.8660971501,5639.15757707816,5390741.86458158,507.965566484224,8.31522281038204,723.273918685051,45011333.0160005,1280101446.9703,13.1380289063889
"136",33499.1089136885,19307.3861226315,5845.26494353786,5396684.05827121,509.570768273706,8.32651576606339,722.104702736126,45015325.8893631,1287313701.56798,13.1152117750856
"137",33505.270421524,19359.1740023614,6052.75469636757,5402347.55649817,511.141937040709,8.33728881997026,720.613732605428,45022314.5843226,1294594505.90829,13.0923167740436
"138",33511.5320023866,19412.5076417251,6259.59404018996,5407740.56158255,512.655895813226,8.34767666127808,718.843045757393,45031817.9559342,1301949823.63226,13.0693252586482
"139",33517.9116479692,19467.664946108,6463.75017962772,5412871.27584441,514.089467619248,8.35781397916226,716.834679656461,45043354.8592528,1309385618.38092,13.0462185842845
"140",33524.4273499652,19524.9238208954,6663.19031930351,5417747.90160383,515.419475486769,8.36783546279821,714.63067176707,45056444.1493332,1316907853.79531,13.0229781063378
"141",33531.0971000678,19584.5621714726,6855.88166384,5422378.64118087,516.622742443781,8.37787580136136,712.273059553658,45070604.6812305,1324522493.51645,12.9995851801933
"142",33537.9388899702,19646.8579032251,7039.79141785989,5426771.69689563,517.676091518277,8.38806968402713,709.803880480663,45085355.3099997,1332235501.18537,12.9760211612362
"143",33544.9707113656,19712.0889215382,7212.88678598582,5430935.27106816,518.55634573825,8.39855179997092,707.265172012524,45100214.8906956,1340052840.4431,12.9522674048517
"144",33552.2105559472,19780.5331317973,7373.1349728405,5434877.56601853,519.240328131691,8.40945683836817,704.698971613679,45114702.2783732,1347980474.93067,12.9283052664249
"145",33559.6764154082,19852.4684393876,7518.50318304658,5438606.78406683,519.704861726594,8.42091948839428,702.147316748565,45128336.3280875,1356024368.28912,12.9041161013412
"146",33567.3862814419,19928.1727496946,7646.95862122674,5442131.12753313,519.926769550952,8.43307443922468,699.652244881622,45140635.8948934,1364190484.15947,12.8796812649857
